GEOID,2020_eviction,2021_eviction,2022_eviction,2023_eviction,own_occ_rate,corp_own_rate,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1.FAM.RES,count_2.FAM.RES,count_3.FAM.RES,count_CONDOMINIUM,count_RES.DEV.LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me,units,units_me,own_units,rent_units,median_rent,median_rent_me
25025000502,4,0,21,6,0.2098092643051771,0.3260672116257947,1927,252375,90000,164000,4,1,2,760,760,1094,32000,14.515,750.5,12,16,2,20,3,1,0,131,0,3,29,6,1,0,60,62,60,3,10,14,19,622,29,676,18,3,7,7,665,0,35,694,2010,6303,2888,3415,85,5925,293,4719,268,6,704,2,16,142,446,391,1872,391,306,65,12,4,1,3,1481,998,343,83,37,10,3,7,2007-11,46205,9882,96648,16052,39342,18186,1748,86.66666,256,1364,1768,35.15152
25025000503,1,2,3,3,0.2317210348706411,0.1327334083239595,1935,211750,105700,160000,3,1,1,638,637,1102,27500,15.26,650.5,14,5,4,12,2,2,0,9,0,5,27,3,2,1,57,59,57,1,8,8,10,539,25,583,7,1,2,2,581,0,25.6,590,2010,2211,1028,1183,54,2016,141,1739,55,2,264,0,11,44,96,246,1341,246,181,50,12,2,1,0,1095,667,347,60,18,1,1,1,2007-11,49531,24007,49688,30677,47337,30538,1278,76.9697,190,966,1832,47.87879
25025000601,4,4,7,3,0.3583509513742072,0.1849894291754757,1922,335000,21300,228480,4,2,2,1221,1147,924,45500,16.255,1150.5,12,10,2,14,5,3,0,12,1,6,74,8,2,0,39,41,39,79,15,9,24,385,26,446,13,79,54,21,275,0,39.2,459,2010,3571,1842,1729,295,2846,430,2480,82,2,540,0,94,85,288,521,1450,521,259,134,79,24,13,12,929,438,250,132,69,27,10,3,2007-11,54635,4989,60833,23810,54386,4966,1424,66.06061,446,920,2052,84.24242
25025000701,4,18,22,10,0.2099712368168744,0.186960690316395,1964,251500,110625,179950,4,1,2,770,770,1152.5,35861,14.805,750.5,14,16,3,22,2,3,0,14,0,5,44,5,3,0,58,58,58,6,19,11,30,547,21,610,18,6,17,9,583,0,33,628,2010,4446,2238,2208,172,4106,168,3050,179,4,728,4,42,106,333,474,2294,474,315,95,37,19,5,3,1820,876,664,188,57,24,9,2,2007-11,51354,10444,100513,33654,45947,8795,2270,152.7273,320,1843,1800,43.63636
25025000703,9,10,4,14,0.1030534351145038,0.3091603053435114,1920,269600,115000,185600,4,1,2,1034,1034,1079,25500,10.37,1050.5,12,13,3,3,2,0,0,5,0,5,12,2,0,0,13,13,13,3,2,4,9,122,14,137,14,3,7,13,109,0,42.4,151,2010,2791,1391,1400,58,2690,43,1708,85,3,662,1,57,93,182,157,1395,157,94,33,18,8,2,2,1238,644,364,145,60,16,2,7,2007-11,20129,4575,78511,3228,19068,7109,1092,60.60606,47,926,1787,24.84848
25025000704,17,25,29,28,0.1619718309859155,0.2288732394366197,1920,232000,120904,159849,4,1,2,796,795,1021,32000,13.03,750.5,12,23,9,29,4,5,0,45,0,17,83,12,3,1,94,94,94,6,31,17,28,685,37,774,24,6,15,8,742,0,33.6,798,2010,4801,2458,2343,243,4393,165,2873,288,3,874,4,73,111,575,512,2350,512,286,118,59,25,16,8,1838,943,543,176,118,36,14,8,2007-11,44774,4743,80106,14894,42019,7297,2178,105.4545,223,1828,1892,60
25025010103,1,1,0,1,0,0.2741935483870967,949.5,161000,0,393750,0,0,0,6883.5,1380,NA,NA,NA,1400.5,NA,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,NA,NA,NA,NA,NA,100,2,2010,4569,1818,2751,19,4524,26,2574,130,4,1328,0,21,165,347,50,490,50,44,3,2,1,0,0,440,313,100,11,16,0,0,0,2007-11,14953,14486,76618,80999,14009,8624,486,47.27273,36,376,1836,45.45454
25025010104,3,6,9,4,0.1620553359683794,0.2738565782044043,1900,373925,175000,232250,3,1,1,733.5,732.5,1116,57250,18.395,750.5,15,31,5,34,1,0,0,132,0,42,61,4,0,0,91,92,91,0,11,14,32,862,51,939,31,0,1,0,940,0,32.2,970,2010,4804,2207,2597,103,4355,346,3140,128,8,967,0,14,138,409,381,1916,381,296,59,20,5,0,1,1535,1148,308,59,15,4,0,1,2007-11,29818,11467,101893,49203,20542,9314,1878,109.697,368,1335,2089,88.48485
25025010204,5,5,4,11,0.1762048192771084,0.2936746987951807,1920,374000,74000,200000,4,1,2,890,932,1077.5,49000,19.045,950.5,15,21,5,8,0,1,0,88,0,3,25,2,0,0,33,34,33,1,11,11,14,298,17,330,21,1,0,0,328,0,37.9,351,2010,3173,1449,1724,31,3100,42,2134,90,3,669,0,7,92,178,115,1188,115,79,26,10,0,0,0,1073,608,319,109,28,6,3,0,2007-11,31389,4981,54054,69503,30000,12250,1171,80.60606,124,913,2008,99.39394
25025010300,4,0,0,8,0.1164658634538152,0.1606425702811245,1915,218000,85000,153400,2,1,1,503,503,1000.5,38125,20.745,550.5,16,2,2,4,1,1,0,4,0,0,13,1,1,0,24,25,24,0,4,3,3,149,7,164,2,0,0,1,161,0,31.9,166,2010,4861,1657,3204,134,4676,51,3381,377,3,477,4,19,143,457,114,395,114,44,48,15,6,1,0,281,220,43,10,8,0,0,0,2007-11,27438,11898,76875,157446,25625,23803,273,36.9697,30,233,1907,113.3333
