GEOID,2020_eviction,2021_eviction,2022_eviction,2023_eviction,own_occ_rate,corp_own_rate,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1.FAM.RES,count_2.FAM.RES,count_3.FAM.RES,count_CONDOMINIUM,count_RES.DEV.LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me,units,units_me,own_units,rent_units,median_rent,median_rent_me,eviction_rate_2020,eviction_rate_2021,eviction_rate_2022,eviction_rate_2023
25025060700,7,1,6,15,0.0,0.0,2006.0,485000.0,0.0,335000.0,5,3,2.0,1478.0,1478.0,,,,1450.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,1.0,0.0,100.0,1,2010,1893,770,1123,718,1064,111,354,381,1,185,0,37,58,877,473,617,473,132,126,105,46,30,34,144,137,5,1,1,0,0,0,2007-11,17592,3445,0,0,17592,3445,1112,143.0303,0,1074,657.0,106.0606,0.006517690875232775,0.000931098696461825,0.00558659217877095,0.013966480446927373
25025060800,2,1,6,5,0.3610648918469218,0.1846921797004991,1900.0,286500.0,66175.0,228000.0,4,1,2.0,903.0,912.0,1070.0,37000.0,14.115,950.5,12.0,37,15,37,20,14,0,101,0,62,158,37,10,5,142,148,142,175,48,19,37,1284,60,1394,54,175.0,37.0,35.0,1114.0,1.0,25.8,1448,2010,3964,1963,2001,341,3329,294,3577,39,6,183,1,11,41,106,643,2002,643,328,167,89,37,15,7,1359,804,419,104,26,5,1,0,2007-11,80000,13295,96429,5571,66724,26182,2445,158.1818,1173,813,2132.0,218.1818,0.0024600246002460025,0.0012300123001230013,0.007380073800738007,0.006150061500615006
25025061000,20,2,3,3,0.4259259259259259,0.137037037037037,1900.0,312500.0,1000.0,256800.0,4,1,2.0,881.0,910.0,1142.0,27000.0,8.8,950.5,13.0,4,1,3,4,3,0,31,0,5,18,8,0,1,17,22,17,26,7,2,7,301,10,320,7,26.0,11.0,7.0,278.0,0.0,16.5,327,2010,3098,1402,1696,854,2070,174,1284,464,3,342,0,49,61,895,717,1239,717,244,214,142,64,28,25,522,371,124,15,9,3,0,0,2007-11,26471,1925,79460,68909,21473,7997,1598,136.3636,531,893,571.0,96.36364,0.022396416573348264,0.0022396416573348264,0.0033594624860022394,0.0033594624860022394
25025061101,10,1,5,19,0.1470588235294117,0.1764705882352941,1905.5,377500.0,64000.0,292500.0,5,2,2.0,1736.0,1562.0,319.0,70000.0,46.67,1550.5,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,7,1,10,0,0.0,3.0,0.0,5.0,0.0,40.0,10,2010,2232,983,1249,713,1348,171,449,467,7,313,2,9,50,935,582,982,582,243,171,99,45,15,9,400,363,28,5,3,1,0,0,2007-11,11956,5415,0,0,11956,5415,1218,89.69697,11,1148,396.0,88.48485,0.008710801393728223,0.0008710801393728223,0.004355400696864111,0.016550522648083623
25025070402,30,35,48,48,0.275609756097561,0.2292682926829268,2002.0,379000.0,0.0,215000.0,2,1,0.0,1259.0,1002.0,2050.0,58246.5,31.085,1050.5,,3,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,8,3,0.0,0.0,0.0,6.0,0.0,18.2,11,2010,1723,765,958,365,919,439,110,221,2,1206,0,6,20,158,409,666,409,159,92,103,33,13,9,257,229,13,9,5,1,0,0,2007-11,15484,2116,0,0,15484,2116,1776,92.72727,61,1491,1465.0,332.1212,0.02012072434607646,0.023474178403755867,0.03219315895372234,0.03219315895372234
25025070600,1,1,1,2,0.4726530612244898,0.1771428571428571,1899.0,517500.0,285000.0,333700.0,4,1,2.0,976.0,1006.0,1040.0,90000.0,18.18,1050.5,14.0,8,2,23,1,1,0,16,0,3,33,2,1,0,87,89,87,33,9,7,12,679,38,736,9,33.0,55.0,10.0,626.0,2.0,23.2,745,2010,2240,1218,1022,233,1794,213,1838,91,3,130,1,15,48,114,408,1210,408,237,89,63,18,0,1,802,521,247,18,15,0,1,0,2007-11,87060,10942,97500,21927,75163,33075,1229,81.21212,803,347,2637.0,102.4242,0.002881844380403458,0.002881844380403458,0.002881844380403458,0.005763688760806916
25025070700,11,17,16,23,0.4358452138492871,0.1771894093686354,1899.0,539500.0,266000.0,338275.0,4,1,2.0,934.0,934.0,1095.0,75000.0,15.87,950.5,15.0,9,9,14,0,1,0,100,0,8,25,0,2,0,47,47,47,11,5,4,16,554,27,597,9,11.0,2.0,5.0,576.0,0.0,24.6,606,2010,2361,1132,1229,305,1844,212,1287,553,7,234,0,14,72,194,480,1238,480,266,117,63,24,8,2,758,539,174,33,10,2,0,0,2007-11,61190,21306,109732,111303,43732,6919,1628,141.8182,506,959,2000.0,462.4243,0.011470281543274244,0.017726798748696558,0.016684045881126174,0.023983315954118872
25025071101,38,20,39,66,0.4016768292682927,0.1516768292682926,1905.0,375000.0,139000.0,263150.0,4,1,2.0,875.0,866.0,1150.0,55500.0,17.74,850.5,11.0,18,10,14,1,1,0,100,0,21,53,3,2,0,71,75,71,25,13,15,26,741,20,795,20,25.0,2.0,7.0,750.0,0.0,25.9,815,2010,3753,2032,1721,293,3084,376,1837,593,17,670,1,38,84,513,499,2088,499,320,102,53,10,7,7,1589,1140,396,48,5,0,0,0,2007-11,44076,9516,78750,61316,23036,16317,2416,147.2727,753,1442,1256.0,112.1212,0.026352288488210817,0.013869625520110958,0.027045769764216365,0.04576976421636616
25025071201,6,7,11,25,0.3338557993730408,0.2163009404388714,1999.0,490000.0,0.0,312800.0,3,2,1.0,1177.0,1173.0,1031.0,96500.0,22.86,1150.5,13.0,15,5,5,1,0,0,99,0,8,48,3,0,0,39,39,39,2,4,5,10,317,19,340,15,2.0,0.0,1.0,335.0,0.0,34.1,355,2010,3131,1668,1463,560,2251,320,1218,592,7,476,4,18,58,758,583,1304,583,261,138,114,41,16,13,721,530,170,19,0,1,0,1,2007-11,37923,18474,117019,64430,17218,7665,1623,90.30303,437,1172,551.0,91.51515,0.005119453924914676,0.005972696245733789,0.00938566552901024,0.021331058020477817
25025080100,24,19,15,43,0.1739130434782608,0.3768115942028985,1890.0,350000.0,82500.0,200000.0,5,1,2.0,2205.0,2266.0,836.0,22000.0,8.07,2350.5,13.0,62,20,22,14,5,0,24,0,27,55,28,2,5,37,39,37,49,33,12,22,238,19,253,71,49.0,23.0,59.0,85.0,1.0,41.7,324,2010,3350,2226,1124,415,2748,187,516,1448,6,44,0,283,111,942,426,681,426,142,129,73,49,14,19,255,198,46,7,3,0,0,1,2007-11,40329,22885,85375,10152,15759,9365,781,54.54546,203,508,1303.0,71.51515,0.047244094488188976,0.03740157480314961,0.02952755905511811,0.08464566929133858
25025080300,19,20,29,42,0.3174224343675417,0.2195704057279236,1900.0,237981.0,35000.0,124000.0,7,2,3.0,2444.0,1896.0,657.5,-18100.0,-12.04,1950.5,8.0,16,14,16,14,8,0,29,0,28,24,26,7,0,24,27,24,27,28,6,22,157,14,199,28,27.0,27.0,44.0,66.0,2.0,37.9,227,2010,1769,756,1013,525,1098,146,83,1065,11,16,0,45,41,508,400,693,400,124,113,83,42,24,14,293,250,29,4,7,1,1,1,2007-11,23315,13931,71250,47784,16050,7596,991,70.30303,244,695,1143.0,252.1212,0.027338129496402876,0.02877697841726619,0.041726618705035974,0.060431654676258995
25025080401,20,28,22,78,0.1972972972972973,0.3027027027027027,1920.0,279500.0,0.0,200000.0,3,1,1.0,1330.0,1295.0,1204.5,69250.0,19.46,1350.5,10.0,18,9,6,2,2,0,41,0,20,14,8,0,1,10,10,10,1,9,5,4,131,9,138,20,1.0,4.0,5.0,107.0,0.0,43.0,158,2010,2710,1186,1524,700,1709,301,200,1349,16,66,0,15,80,984,670,1225,670,286,220,95,46,7,16,555,498,43,13,1,0,0,0,2007-11,13446,3867,69203,19935,11712,2483,1522,129.0909,113,1231,760.0,143.6364,0.016246953696181964,0.022745735174654752,0.017871649065800164,0.06336311941510966
25025080500,48,23,13,28,0.2216494845360824,0.2474226804123711,1890.0,336500.0,153750.0,239600.0,5,2,2.0,845.0,1164.0,905.0,66200.0,15.38,1150.5,9.0,2,2,8,7,0,0,1,0,5,11,10,0,3,22,20,22,43,8,4,9,129,12,156,6,43.0,5.0,24.0,72.0,1.0,36.4,162,2010,3096,1362,1734,948,1889,259,233,1369,2,99,1,13,50,1329,763,1269,763,295,218,141,62,28,19,506,408,52,32,12,2,0,0,2007-11,16136,7200,59087,88860,14964,7273,1602,139.3939,28,1498,791.0,233.9394,0.03204272363150868,0.015353805073431242,0.008678237650200267,0.018691588785046728
25025080601,5,11,23,58,0.2391304347826087,0.2732919254658385,1990.0,201950.0,0.0,135200.0,4,1,2.0,1110.5,1081.0,974.0,54840.0,42.21,1050.5,11.0,5,1,4,0,1,0,10,0,53,13,1,2,2,14,14,14,9,2,4,3,126,11,141,5,9.0,6.0,5.0,101.0,0.0,45.9,146,2010,4271,2048,2223,492,3687,92,2146,850,12,385,0,45,90,743,388,882,388,126,115,85,35,16,11,494,293,74,58,56,10,2,1,2007-11,21422,9314,56579,36848,18862,4287,919,56.9697,105,696,588.0,347.8788,0.007183908045977011,0.015804597701149427,0.033045977011494254,0.08333333333333333
25025080801,35,4,7,33,0.0,0.2033898305084746,1988.0,195500.0,97500.0,88625.0,7,2,4.5,1697.0,1697.0,310.0,41000.0,29.17,1650.5,11.0,1,1,2,1,0,0,0,0,1,5,2,0,2,3,3,3,0,1,2,0,13,0,14,2,0.0,3.0,0.0,9.0,0.0,37.5,16,2010,3885,1916,1969,770,2928,187,1258,791,19,386,0,12,74,1345,567,927,567,177,150,115,53,42,30,360,247,37,28,30,9,5,4,2007-11,15994,3203,45764,60236,15817,2763,1161,115.7576,0,1141,451.0,136.9697,0.03067484662576687,0.0035056967572304996,0.006134969325153374,0.028921998247151623
25025080900,14,3,17,13,0.1957894736842105,0.4210526315789473,1900.0,540000.0,66000.0,360000.0,9,3,4.0,2000.0,2664.0,959.5,134500.0,30.59,2650.5,14.0,34,3,10,1,0,0,25,0,3,17,1,0,1,30,32,30,51,16,27,14,185,27,234,35,51.0,16.0,94.0,62.0,4.0,37.5,269,2010,4008,2123,1885,206,3531,271,2601,329,5,660,4,8,88,313,323,1686,323,171,66,48,18,14,6,1363,632,227,186,231,58,25,4,2007-11,36450,7939,30375,45699,37955,9349,1624,89.69697,67,1437,2287.0,314.5454,0.009742519137091163,0.0020876826722338203,0.011830201809324982,0.009046624913013222
